Wall time,Step,Value
1543110446.239198,0,36.4697151184082
1543110446.659954,11,59.79312515258789
1543110446.877159,22,14.379769325256348
1543110447.097384,33,5.6097917556762695
1543110447.314955,44,3.7026615142822266
1543110447.528187,55,2.658479690551758
1543110447.742235,66,2.358935832977295
1543110447.957641,77,2.1725571155548096
1543110448.172062,88,2.104076385498047
1543110448.386261,99,2.0307343006134033
1543110448.599202,110,2.0470075607299805
1543110448.815979,121,1.8445231914520264
1543110449.029217,132,1.8962442874908447
1543110449.244616,143,1.8647818565368652
1543110449.457667,154,1.8333851099014282
1543110449.674767,165,1.9135748147964478
1543110449.88745,176,1.737950086593628
1543110450.098333,187,1.8950339555740356
1543110450.314694,198,1.7685391902923584
1543110450.530741,209,1.8018598556518555
1543110450.746595,220,1.797280192375183
1543110450.969246,231,1.728559970855713
1543110451.182733,242,1.9270853996276855
1543110451.394044,253,1.7992651462554932
1543110451.608525,264,1.6823866367340088
1543110451.823456,275,1.6716675758361816
1543110452.040933,286,1.7496955394744873
1543110452.255937,297,1.9795989990234375
1543110452.468555,308,1.765131950378418
1543110452.679262,319,1.704471230506897
1543110452.893355,330,1.6152311563491821
1543110453.11413,341,1.6314852237701416
1543110453.330129,352,1.444037675857544
1543110453.546167,363,1.5359244346618652
1543110453.764186,374,1.6479448080062866
1543110453.985454,385,1.5782188177108765
1543110454.204118,396,1.5447965860366821
1543110454.418661,407,1.5763843059539795
1543110454.634889,418,1.471327543258667
1543110454.852429,429,1.7431719303131104
1543110455.069372,440,1.525097131729126
1543110455.287744,451,1.580183982849121
1543110455.499762,462,1.4557992219924927
1543110455.715774,473,1.481410026550293
1543110455.930333,484,1.447174072265625
1543110456.146305,495,1.5722464323043823
1543110456.361681,506,1.6756058931350708
1543110456.570141,517,1.5610886812210083
1543110456.784111,528,1.4905139207839966
1543110456.999551,539,1.4613919258117676
1543110457.216156,550,1.4131386280059814
1543110457.436898,561,1.456430435180664
1543110457.649952,572,1.398043155670166
1543110457.870993,583,1.4227603673934937
1543110458.090426,594,1.498953938484192
1543110458.307092,605,1.4581677913665771
1543110458.526054,616,1.4173532724380493
1543110458.744641,627,1.3657128810882568
1543110458.96211,638,1.3216794729232788
1543110459.185653,649,1.517446517944336
1543110459.401042,660,1.6017380952835083
1543110459.621109,671,1.4556063413619995
1543110459.838022,682,1.4695286750793457
1543110460.054747,693,1.4268546104431152
1543110460.272705,704,1.5372945070266724
1543110460.491034,715,1.4922285079956055
1543110460.701208,726,1.4571665525436401
1543110460.911339,737,1.4644231796264648
1543110461.125962,748,1.3220704793930054
1543110461.341912,759,1.4810714721679688
1543110461.556389,770,1.380782127380371
1543110461.777427,781,1.4390337467193604
1543110461.988092,792,1.247972846031189
1543110462.197829,803,1.394051432609558
1543110462.412436,814,1.457632303237915
1543110462.62995,825,1.339032530784607
1543110462.84627,836,1.3436862230300903
1543110463.060145,847,1.2291617393493652
1543110463.272902,858,1.3677608966827393
1543110463.483282,869,1.4345102310180664
1543110463.696088,880,1.3991936445236206
1543110463.91881,891,1.4307141304016113
1543110464.134747,902,1.445501685142517
1543110464.350054,913,1.4086544513702393
1543110464.561678,924,1.3765089511871338
1543110464.772508,935,1.2965644598007202
1543110464.98476,946,1.4226430654525757
1543110465.199725,957,1.2982141971588135
1543110465.416502,968,1.2729263305664062
1543110465.632091,979,1.4980485439300537
1543110465.84512,990,1.3504550457000732
1543110466.185567,1001,1.3760312795639038
1543110466.401999,1012,1.3331363201141357
1543110466.618149,1023,1.2755918502807617
1543110466.831557,1034,1.326268196105957
1543110467.047523,1045,1.2016193866729736
1543110467.259139,1056,1.1606204509735107
1543110467.470039,1067,1.3939241170883179
1543110467.685026,1078,1.4779415130615234
1543110467.900335,1089,1.320888638496399
1543110468.116038,1100,1.2995322942733765
1543110468.339408,1111,1.3034226894378662
1543110468.551737,1122,1.2772880792617798
1543110468.763903,1133,1.154956340789795
1543110468.981823,1144,1.2243025302886963
1543110469.199699,1155,1.2709075212478638
1543110469.416208,1166,1.175172209739685
1543110469.631146,1177,1.2310398817062378
1543110469.844284,1188,1.2969651222229004
1543110470.056403,1199,1.1295995712280273
1543110470.271281,1210,1.2772458791732788
1543110470.491361,1221,1.0878748893737793
1543110470.70832,1232,1.259937047958374
1543110470.924335,1243,1.1689023971557617
1543110471.135611,1254,1.1982953548431396
1543110471.347405,1265,1.3121304512023926
1543110471.562538,1276,1.3079193830490112
1543110471.780258,1287,1.281800627708435
1543110471.997204,1298,1.3828818798065186
1543110472.213214,1309,1.3071529865264893
1543110472.426304,1320,1.2390586137771606
1543110472.645287,1331,1.191599726676941
1543110472.860485,1342,1.231401801109314
1543110473.078165,1353,1.229953646659851
1543110473.295884,1364,1.1535311937332153
1543110473.512262,1375,1.1769300699234009
1543110473.725175,1386,1.268924355506897
1543110473.935477,1397,1.13555908203125
1543110474.149037,1408,1.0406697988510132
1543110474.363956,1419,1.2141345739364624
1543110474.580137,1430,1.2120188474655151
1543110474.801583,1441,1.2261064052581787
1543110475.013036,1452,1.1766953468322754
1543110475.222049,1463,1.270784616470337
1543110475.433611,1474,1.1932398080825806
1543110475.647271,1485,1.2737183570861816
1543110475.862323,1496,1.1379892826080322
1543110476.078641,1507,1.1634833812713623
1543110476.291764,1518,1.2690246105194092
1543110476.503267,1529,1.0841549634933472
1543110476.715965,1540,1.1559979915618896
1543110476.935313,1551,1.118617057800293
1543110477.148012,1562,1.260076642036438
1543110477.360647,1573,1.074064016342163
1543110477.571544,1584,1.1791647672653198
1543110477.781095,1595,1.1781009435653687
1543110477.993342,1606,1.2283298969268799
1543110478.208276,1617,1.1350146532058716
1543110478.422813,1628,1.1487867832183838
1543110478.638669,1639,1.1104682683944702
1543110478.850543,1650,1.0887597799301147
1543110479.067886,1661,0.9967970848083496
1543110479.280171,1672,1.135482907295227
