Wall time,Step,Value
1543105712.993023,0,6478.388671875
1543105713.304142,11,1390.0087890625
1543105713.450988,22,163.56044006347656
1543105713.595512,33,64.70372009277344
1543105713.738366,44,46.853092193603516
1543105713.883938,55,32.84282302856445
1543105714.031342,66,22.33504295349121
1543105714.176329,77,19.67133140563965
1543105714.320782,88,14.247139930725098
1543105714.466409,99,10.243528366088867
1543105714.610953,110,7.275720596313477
1543105714.760666,121,5.155353546142578
1543105714.906207,132,4.313449382781982
1543105715.052445,143,3.316803216934204
1543105715.196578,154,3.225735902786255
1543105715.338156,165,2.712123155593872
1543105715.478763,176,2.630347967147827
1543105715.620994,187,2.4875965118408203
1543105715.763543,198,2.3644306659698486
1543105715.905289,209,2.518815279006958
1543105716.05092,220,2.636107921600342
1543105716.201485,231,2.4735512733459473
1543105716.348476,242,2.350766897201538
1543105716.494498,253,2.475951671600342
1543105716.640832,264,2.4075772762298584
1543105716.7877,275,2.648878812789917
1543105716.929258,286,2.5763111114501953
1543105717.071694,297,2.492032766342163
1543105717.21287,308,2.654737949371338
1543105717.356115,319,2.346067428588867
1543105717.497215,330,2.3293025493621826
1543105717.643621,341,2.472362995147705
1543105717.787438,352,2.330707550048828
1543105717.932171,363,2.411454439163208
1543105718.080104,374,2.3774573802948
1543105718.226519,385,2.3091654777526855
1543105718.373247,396,2.2819981575012207
1543105718.517598,407,2.3761448860168457
1543105718.6629,418,2.4049582481384277
1543105718.812594,429,2.266569137573242
1543105718.959694,440,2.4006025791168213
1543105719.110786,451,2.298675060272217
1543105719.255931,462,2.327932119369507
1543105719.400548,473,2.3182382583618164
1543105719.545047,484,2.3248469829559326
1543105719.691816,495,2.3318259716033936
1543105719.840511,506,2.35798978805542
1543105719.986599,517,2.2557156085968018
1543105720.129197,528,2.3481693267822266
1543105720.272707,539,2.2520828247070312
1543105720.415764,550,2.3066651821136475
1543105720.562423,561,2.2823307514190674
1543105720.70631,572,2.2748749256134033
1543105720.848501,583,2.2946105003356934
1543105720.992175,594,2.3084418773651123
1543105721.133852,605,2.247011184692383
1543105721.276905,616,2.3154842853546143
1543105721.421566,627,2.271965265274048
1543105721.564165,638,2.240243434906006
1543105721.707329,649,2.3284966945648193
1543105721.851748,660,2.285705327987671
1543105722.000302,671,2.353519916534424
1543105722.142095,682,2.293147325515747
1543105722.283004,693,2.261941909790039
1543105722.424385,704,2.208008050918579
1543105722.565841,715,2.354248285293579
1543105722.707142,726,2.2339847087860107
1543105722.850758,737,2.2299110889434814
1543105722.997541,748,2.240457534790039
1543105723.143108,759,2.229768991470337
1543105723.28808,770,2.23464035987854
1543105723.439046,781,2.237046718597412
1543105723.582428,792,2.203765392303467
1543105723.726292,803,2.270975112915039
1543105723.86807,814,2.283050775527954
1543105724.012044,825,2.2571136951446533
1543105724.153834,836,2.2834877967834473
1543105724.296884,847,2.256098508834839
1543105724.440064,858,2.2172129154205322
1543105724.584477,869,2.2521705627441406
1543105724.732138,880,2.2817718982696533
1543105724.88192,891,2.222526788711548
1543105725.028775,902,2.202444076538086
1543105725.173027,913,2.1646053791046143
1543105725.313241,924,2.2289981842041016
1543105725.454867,935,2.257261037826538
1543105725.597174,946,2.1903762817382812
1543105725.73891,957,2.2086069583892822
1543105725.880859,968,2.2654261589050293
1543105726.023995,979,2.2220242023468018
1543105726.169167,990,2.2327656745910645
1543105726.473197,1001,2.1679084300994873
1543105726.616865,1012,2.194072723388672
1543105726.761155,1023,2.2452895641326904
1543105726.902988,1034,2.175426959991455
1543105727.045122,1045,2.224008083343506
1543105727.186378,1056,2.1428020000457764
1543105727.328096,1067,2.250380754470825
1543105727.469611,1078,2.2351419925689697
1543105727.61243,1089,2.191549777984619
1543105727.757687,1100,2.2089040279388428
1543105727.906135,1111,2.2251055240631104
1543105728.050637,1122,2.224173069000244
1543105728.195821,1133,2.169806957244873
1543105728.340077,1144,2.2022652626037598
1543105728.48171,1155,2.1265413761138916
1543105728.623185,1166,2.1561615467071533
1543105728.765372,1177,2.169954299926758
1543105728.908421,1188,2.1702911853790283
1543105729.050218,1199,2.219966173171997
1543105729.19377,1210,2.250971555709839
1543105729.344933,1221,2.2187459468841553
1543105729.492326,1232,2.254181146621704
1543105729.639543,1243,2.162285804748535
1543105729.783116,1254,2.2344441413879395
1543105729.924482,1265,2.180333137512207
1543105730.072371,1276,2.077279567718506
1543105730.214989,1287,2.1814017295837402
1543105730.357792,1298,2.110077381134033
1543105730.49848,1309,2.178459405899048
1543105730.643744,1320,2.1900341510772705
1543105730.794184,1331,2.2076780796051025
1543105730.939825,1342,2.2036266326904297
1543105731.084719,1353,2.166147470474243
1543105731.232193,1364,2.196516990661621
1543105731.377556,1375,2.107628107070923
1543105731.522675,1386,2.1830601692199707
1543105731.66866,1397,2.2854361534118652
1543105731.811496,1408,2.1453371047973633
1543105731.954829,1419,2.207099676132202
1543105732.099651,1430,2.1307973861694336
1543105732.246032,1441,2.227778911590576
1543105732.388903,1452,2.141103744506836
1543105732.534133,1463,2.131458282470703
1543105732.679316,1474,2.1474666595458984
1543105732.824509,1485,2.168842077255249
1543105732.968926,1496,2.1752495765686035
1543105733.11541,1507,2.198559522628784
1543105733.261552,1518,2.1818366050720215
1543105733.40355,1529,2.1844124794006348
1543105733.545673,1540,2.1875193119049072
1543105733.69066,1551,2.11259126663208
1543105733.831441,1562,2.1642987728118896
1543105733.972527,1573,2.130919933319092
1543105734.114334,1584,2.1953115463256836
1543105734.260026,1595,2.121392011642456
1543105734.402199,1606,2.137613296508789
1543105734.54558,1617,2.1994667053222656
1543105734.68971,1628,2.14585018157959
1543105734.832702,1639,2.1280505657196045
1543105734.973541,1650,2.1827392578125
1543105735.119068,1661,2.1640090942382812
1543105735.261638,1672,2.2130918502807617
1543105735.403942,1683,2.1680426597595215
1543105735.544462,1694,2.06414532661438
1543105735.686257,1705,2.1216647624969482
1543105735.830412,1716,2.1459522247314453
1543105735.97614,1727,2.1267096996307373
1543105736.120241,1738,2.1241612434387207
1543105736.260823,1749,2.1027162075042725
1543105736.403337,1760,2.181989908218384
1543105736.548408,1771,2.0459470748901367
1543105736.688451,1782,2.1253294944763184
1543105736.828878,1793,2.1054749488830566
1543105736.970431,1804,2.109030246734619
1543105737.111078,1815,2.0888445377349854
1543105737.252064,1826,2.1579625606536865
1543105737.391347,1837,2.1365699768066406
1543105737.533007,1848,2.1512842178344727
1543105737.673882,1859,2.1851634979248047
1543105737.814891,1870,2.149707078933716
1543105737.960429,1881,2.1613073348999023
1543105738.102611,1892,2.19035005569458
1543105738.246131,1903,2.103949546813965
1543105738.386742,1914,2.1848695278167725
1543105738.52735,1925,2.1698243618011475
1543105738.668925,1936,2.2214772701263428
1543105738.80844,1947,2.1987383365631104
1543105738.949205,1958,2.1578707695007324
1543105739.089724,1969,2.0869128704071045
1543105739.232856,1980,2.2459142208099365
1543105739.377441,1991,2.152066469192505
1543105739.625483,2002,2.151428699493408
1543105739.767204,2013,2.1079015731811523
1543105739.909083,2024,2.090648651123047
1543105740.052136,2035,2.115527868270874
1543105740.194471,2046,2.131737232208252
1543105740.336742,2057,2.0851476192474365
1543105740.479285,2068,2.1407124996185303
1543105740.622331,2079,2.1046345233917236
1543105740.764121,2090,2.1319739818573
1543105740.911756,2101,2.0815553665161133
1543105741.053787,2112,2.118323802947998
1543105741.196731,2123,2.2135770320892334
1543105741.340181,2134,2.140336513519287
1543105741.483649,2145,2.153820276260376
1543105741.625958,2156,2.055710554122925
1543105741.768472,2167,2.16120982170105
1543105741.908482,2178,2.2039599418640137
1543105742.051204,2189,2.1156814098358154
1543105742.195915,2200,2.212261438369751
1543105742.34735,2211,2.1563119888305664
1543105742.494363,2222,2.1292502880096436
1543105742.639786,2233,2.1774139404296875
1543105742.787617,2244,2.072206497192383
1543105742.932282,2255,2.0851662158966064
1543105743.073763,2266,2.114654064178467
1543105743.214775,2277,2.0763187408447266
1543105743.357252,2288,2.0803470611572266
1543105743.499079,2299,2.091092586517334
1543105743.642031,2310,2.1272244453430176
1543105743.79163,2321,2.1808769702911377
1543105743.934271,2332,2.1003668308258057
1543105744.08032,2343,2.1555800437927246
1543105744.224373,2354,2.0556962490081787
1543105744.367424,2365,2.1315159797668457
1543105744.515128,2376,2.0944855213165283
1543105744.656985,2387,2.173748016357422
1543105744.79785,2398,2.120849609375
1543105744.939137,2409,2.107638120651245
1543105745.082438,2420,2.15071702003479
1543105745.228284,2431,2.106187582015991
1543105745.373001,2442,2.102804183959961
1543105745.516946,2453,2.1470398902893066
1543105745.660815,2464,2.1019277572631836
1543105745.80402,2475,2.035891056060791
1543105745.948985,2486,2.053560972213745
1543105746.09196,2497,2.1435108184814453
1543105746.234924,2508,2.157907724380493
1543105746.378087,2519,2.080047130584717
1543105746.518243,2530,2.160676956176758
1543105746.663071,2541,2.1030402183532715
1543105746.8048,2552,2.0825278759002686
1543105746.947285,2563,2.104494094848633
1543105747.090606,2574,2.1036453247070312
1543105747.233317,2585,2.093240737915039
1543105747.375696,2596,2.030477523803711
1543105747.517671,2607,2.1611175537109375
1543105747.659983,2618,2.0495645999908447
1543105747.803038,2629,1.9753351211547852
1543105747.943803,2640,2.103757381439209
1543105748.091049,2651,2.1049885749816895
1543105748.236687,2662,2.079859972000122
1543105748.378523,2673,2.0864837169647217
1543105748.520271,2684,2.0917000770568848
1543105748.662181,2695,2.121614933013916
1543105748.803539,2706,2.0842044353485107
1543105748.946275,2717,2.186502456665039
1543105749.088302,2728,2.125933885574341
1543105749.228433,2739,2.090423107147217
1543105749.371882,2750,2.048400402069092
1543105749.516482,2761,2.0274159908294678
1543105749.657678,2772,2.087571620941162
1543105749.79861,2783,2.1487934589385986
1543105749.939258,2794,2.0312509536743164
1543105750.079429,2805,2.1044721603393555
1543105750.220192,2816,2.0186822414398193
1543105750.362246,2827,2.0837771892547607
1543105750.503654,2838,2.0898141860961914
1543105750.645913,2849,2.1283512115478516
1543105750.78869,2860,2.0662150382995605
1543105750.93627,2871,2.0679714679718018
1543105751.07888,2882,2.112733840942383
1543105751.220577,2893,2.0585970878601074
1543105751.363519,2904,2.0825066566467285
1543105751.503908,2915,2.1042213439941406
1543105751.64741,2926,2.085812568664551
1543105751.787573,2937,2.050929069519043
